Season,home_team,away_team,home_goals,away_goals,result
1993-94,Arsenal,Coventry,0,3,A
1993-94,Aston Villa,QPR,4,1,H
1993-94,Chelsea,Blackburn,1,2,A
1993-94,Liverpool,Sheffield Weds,2,0,H
1993-94,Man City,Leeds,1,1,D
1993-94,Newcastle,Tottenham,0,1,A
1993-94,Oldham,Ipswich,0,3,A
1993-94,Sheffield United,Swindon,3,1,H
1993-94,Southampton,Everton,0,2,A
1993-94,West Ham,Wimbledon,0,2,A
1993-94,Norwich,Man United,0,2,A
1993-94,Tottenham,Arsenal,0,1,A
1993-94,Everton,Man City,-1,0,H
1993-94,Ipswich,Southampton,1,0,H
1993-94,Leeds,West Ham,1,0,H
1993-94,Wimbledon,Chelsea,1,1,D
1993-94,Blackburn,Norwich,2,3,A
1993-94,Coventry,Newcastle,2,1,H
1993-94,Man United,Sheffield United,3,0,H
1993-94,QPR,Liverpool,1,3,A
1993-94,Sheffield Weds,Aston Villa,0,0,D
1993-94,Swindon,Oldham,0,1,A
1993-94,Blackburn,Oldham,1,0,H
1993-94,Coventry,West Ham,1,1,D
1993-94,Everton,Sheffield United,4,2,H
1993-94,Ipswich,Chelsea,1,0,H
1993-94,Leeds,Norwich,0,4,A
1993-94,Man United,Newcastle,1,1,D
1993-94,QPR,Southampton,2,1,H
1993-94,Sheffield Weds,Arsenal,0,1,A
1993-94,Tottenham,Man City,1,0,H
1993-94,Wimbledon,Aston Villa,2,2,D
1993-94,Swindon,Liverpool,0,5,A
1993-94,Aston Villa,Man United,1,2,A
1993-94,Arsenal,Leeds,2,1,H
1993-94,Man City,Blackburn,0,2,A
1993-94,Oldham,Coventry,3,3,D
1993-94,Sheffield United,Wimbledon,2,1,H
1993-94,Chelsea,QPR,2,0,H
1993-94,Liverpool,Tottenham,1,2,A
1993-94,Newcastle,Everton,1,0,H
1993-94,Norwich,Ipswich,1,0,H
1993-94,Southampton,Swindon,5,1,H
1993-94,West Ham,Sheffield Weds,2,0,H
1993-94,Man City,Coventry,1,1,D
1993-94,Arsenal,Everton,2,0,H
1993-94,Aston Villa,Tottenham,1,0,H
1993-94,Chelsea,Sheffield Weds,1,1,D
1993-94,Liverpool,Leeds,2,0,H
1993-94,Norwich,Swindon,0,0,D
1993-94,Oldham,Wimbledon,1,1,D
1993-94,Sheffield United,Ipswich,1,1,D
1993-94,Southampton,Man United,1,3,A
1993-94,West Ham,QPR,0,4,A
1993-94,Newcastle,Blackburn,1,1,D
1993-94,Leeds,Oldham,1,0,H
1993-94,Everton,Aston Villa,0,1,A
1993-94,Ipswich,Newcastle,1,1,D
1993-94,Wimbledon,Southampton,1,0,H
1993-94,Blackburn,Arsenal,1,1,D
1993-94,Coventry,Liverpool,1,0,H
1993-94,Man United,West Ham,3,0,H
1993-94,QPR,Sheffield United,2,1,H
1993-94,Sheffield Weds,Norwich,3,3,D
1993-94,Swindon,Man City,1,3,A
1993-94,Tottenham,Chelsea,1,1,D
1993-94,Arsenal,Ipswich,4,0,H
1993-94,Aston Villa,Coventry,0,0,D
1993-94,Chelsea,Man United,1,0,H
1993-94,Man City,QPR,3,0,H
1993-94,Norwich,Wimbledon,0,1,A
1993-94,Oldham,Everton,0,1,A
1993-94,Sheffield United,Tottenham,2,2,D
1993-94,Southampton,Leeds,0,2,A
1993-94,West Ham,Swindon,0,0,D
1993-94,Liverpool,Blackburn,0,1,A
1993-94,Newcastle,Sheffield Weds,4,2,H
1993-94,Blackburn,West Ham,0,2,A
1993-94,Coventry,Chelsea,1,1,D
1993-94,Everton,Liverpool,2,0,H
1993-94,Ipswich,Aston Villa,1,2,A
1993-94,Leeds,Sheffield United,2,1,H
1993-94,QPR,Norwich,2,2,D
1993-94,Sheffield Weds,Southampton,2,0,H
1993-94,Swindon,Newcastle,2,2,D
1993-94,Tottenham,Oldham,5,0,H
1993-94,Man United,Arsenal,1,0,H
1993-94,Wimbledon,Man City,1,0,H
1993-94,Arsenal,Southampton,1,0,H
1993-94,Blackburn,Sheffield Weds,1,1,D
1993-94,Chelsea,Liverpool,1,0,H
1993-94,Coventry,Leeds,0,2,A
1993-94,Everton,Norwich,1,5,A
1993-94,Man United,Swindon,4,2,H
1993-94,Newcastle,West Ham,2,0,H
1993-94,Oldham,Aston Villa,1,1,D
1993-94,Sheffield United,Man City,0,1,A
1993-94,Ipswich,Tottenham,2,2,D
1993-94,Wimbledon,QPR,1,1,D
1993-94,Aston Villa,Newcastle,0,2,A
1993-94,Leeds,Wimbledon,4,0,H
1993-94,Liverpool,Arsenal,0,0,D
1993-94,Norwich,Coventry,1,0,H
1993-94,QPR,Ipswich,3,0,H
1993-94,Sheffield Weds,Man United,2,3,A
1993-94,Southampton,Sheffield United,3,3,D
1993-94,Swindon,Blackburn,1,3,A
1993-94,West Ham,Chelsea,1,0,H
1993-94,Tottenham,Everton,3,2,H
1993-94,Man City,Oldham,1,1,D
1993-94,Arsenal,Man City,0,0,D
1993-94,Chelsea,Norwich,1,2,A
1993-94,Coventry,Southampton,1,1,D
1993-94,Liverpool,Oldham,2,1,H
1993-94,Man United,Tottenham,2,1,H
1993-94,Newcastle,QPR,1,2,A
1993-94,Sheffield Weds,Wimbledon,2,2,D
1993-94,Swindon,Everton,1,1,D
1993-94,West Ham,Aston Villa,0,0,D
1993-94,Ipswich,Leeds,0,0,D
1993-94,Blackburn,Sheffield United,0,0,D
1993-94,Aston Villa,Chelsea,1,0,H
1993-94,Everton,Man United,0,1,A
1993-94,Leeds,Blackburn,3,3,D
1993-94,Man City,Liverpool,1,1,D
1993-94,Norwich,West Ham,0,0,D
1993-94,Oldham,Arsenal,0,0,D
1993-94,QPR,Coventry,5,1,H
1993-94,Sheffield United,Sheffield Weds,1,1,D
1993-94,Tottenham,Swindon,1,1,D
1993-94,Southampton,Newcastle,2,1,H
1993-94,Wimbledon,Ipswich,0,2,A
1993-94,Arsenal,Norwich,0,0,D
1993-94,Blackburn,Tottenham,1,0,H
1993-94,Chelsea,Oldham,0,1,A
1993-94,Ipswich,Everton,0,2,A
1993-94,Liverpool,Southampton,4,2,H
1993-94,Man United,QPR,2,1,H
1993-94,Newcastle,Wimbledon,4,0,H
1993-94,Sheffield Weds,Leeds,3,3,D
1993-94,Swindon,Aston Villa,1,2,A
1993-94,Coventry,Sheffield United,0,0,D
1993-94,West Ham,Man City,3,1,H
1993-94,Arsenal,Aston Villa,1,2,A
1993-94,Coventry,Everton,2,1,H
1993-94,Ipswich,Sheffield Weds,1,4,A
1993-94,Leeds,Chelsea,4,1,H
1993-94,Liverpool,West Ham,2,0,H
1993-94,QPR,Blackburn,1,0,H
1993-94,Sheffield United,Norwich,1,2,A
1993-94,Southampton,Tottenham,1,0,H
1993-94,Wimbledon,Swindon,3,0,H
1993-94,Man City,Man United,2,3,A
1993-94,Oldham,Newcastle,1,3,A
1993-94,Aston Villa,Sheffield United,1,0,H
1993-94,Blackburn,Southampton,2,0,H
1993-94,Chelsea,Arsenal,0,2,A
1993-94,Everton,QPR,0,3,A
1993-94,Man United,Wimbledon,3,1,H
1993-94,Norwich,Man City,1,1,D
1993-94,Sheffield Weds,Coventry,0,0,D
1993-94,Swindon,Ipswich,2,2,D
1993-94,Tottenham,Leeds,1,1,D
1993-94,West Ham,Oldham,2,0,H
1993-94,Newcastle,Liverpool,3,0,H
1993-94,Chelsea,Man City,0,0,D
1993-94,Blackburn,Coventry,2,1,H
1993-94,Everton,Leeds,1,1,D
1993-94,Aston Villa,Southampton,0,2,A
1993-94,Man United,Ipswich,0,0,D
1993-94,Newcastle,Sheffield United,4,0,H
1993-94,Sheffield Weds,Oldham,3,0,H
1993-94,Swindon,QPR,1,0,H
1993-94,Tottenham,Wimbledon,1,1,D
1993-94,West Ham,Arsenal,0,0,D
1993-94,Arsenal,Newcastle,2,1,H
1993-94,Coventry,Man United,0,1,A
1993-94,Ipswich,Blackburn,1,0,H
1993-94,Leeds,Swindon,3,0,H
1993-94,Man City,Sheffield Weds,1,3,A
1993-94,Oldham,Norwich,2,1,H
1993-94,QPR,Tottenham,1,1,D
1993-94,Sheffield United,Chelsea,1,0,H
1993-94,Wimbledon,Everton,1,1,D
1993-94,Liverpool,Aston Villa,2,1,H
1993-94,Southampton,West Ham,0,2,A
1993-94,Coventry,Arsenal,1,0,H
1993-94,Everton,Southampton,1,0,H
1993-94,Ipswich,Oldham,0,0,D
1993-94,Leeds,Man City,3,2,H
1993-94,Man United,Norwich,2,2,D
1993-94,QPR,Aston Villa,2,2,D
1993-94,Sheffield Weds,Liverpool,3,1,H
1993-94,Swindon,Sheffield United,0,0,D
1993-94,Tottenham,Newcastle,1,2,A
1993-94,Wimbledon,West Ham,1,2,A
1993-94,Blackburn,Chelsea,2,0,H
1993-94,Arsenal,Tottenham,1,1,D
1993-94,Oldham,Swindon,2,1,H
1993-94,Sheffield United,Man United,0,3,A
1993-94,Aston Villa,Sheffield Weds,2,2,D
1993-94,Liverpool,QPR,3,2,H
1993-94,Man City,Everton,1,0,H
1993-94,Southampton,Ipswich,0,1,A
1993-94,West Ham,Leeds,0,1,A
1993-94,Aston Villa,Wimbledon,0,1,A
1993-94,Chelsea,Ipswich,1,1,D
1993-94,Liverpool,Swindon,2,2,D
1993-94,Man City,Tottenham,0,2,A
1993-94,Newcastle,Man United,1,1,D
1993-94,Oldham,Blackburn,1,2,A
1993-94,Sheffield United,Everton,0,0,D
1993-94,Southampton,QPR,0,1,A
1993-94,West Ham,Coventry,3,2,H
1993-94,Arsenal,Sheffield Weds,1,0,H
1993-94,Norwich,Leeds,2,1,H
1993-94,Blackburn,Man City,2,0,H
1993-94,Coventry,Oldham,1,1,D
1993-94,Everton,Newcastle,0,2,A
1993-94,Ipswich,Norwich,2,1,H
1993-94,Leeds,Arsenal,2,1,H
1993-94,Sheffield Weds,West Ham,5,0,H
1993-94,Swindon,Southampton,2,1,H
1993-94,Tottenham,Liverpool,3,3,D
1993-94,Wimbledon,Sheffield United,2,0,H
1993-94,Man United,Aston Villa,3,1,H
1993-94,Newcastle,Leeds,1,1,D
1993-94,Man United,Blackburn,1,1,D
1993-94,Sheffield United,Liverpool,0,0,D
1993-94,Wimbledon,Coventry,1,2,A
1993-94,Everton,Sheffield Weds,0,2,A
1993-94,Ipswich,West Ham,1,1,D
1993-94,QPR,Oldham,2,0,H
1993-94,Southampton,Chelsea,3,1,H
1993-94,Swindon,Arsenal,0,4,A
1993-94,Tottenham,Norwich,1,3,A
1993-94,Chelsea,Newcastle,1,0,H
1993-94,Liverpool,Wimbledon,1,1,D
1993-94,Man City,Southampton,1,1,D
1993-94,West Ham,Tottenham,1,3,A
1993-94,Arsenal,Sheffield United,3,0,H
1993-94,Blackburn,Everton,2,0,H
1993-94,Leeds,QPR,1,1,D
1993-94,Norwich,Aston Villa,1,2,A
1993-94,Oldham,Man United,2,5,A
1993-94,Sheffield Weds,Swindon,3,3,D
1993-94,Aston Villa,Blackburn,0,1,A
1993-94,Everton,West Ham,0,1,A
1993-94,Ipswich,Liverpool,1,2,A
1993-94,Man United,Leeds,0,0,D
1993-94,Newcastle,Man City,2,0,H
1993-94,QPR,Sheffield Weds,1,2,A
1993-94,Sheffield United,Oldham,2,1,H
1993-94,Southampton,Norwich,0,1,A
1993-94,Swindon,Chelsea,1,3,A
1993-94,Tottenham,Coventry,1,2,A
1993-94,Wimbledon,Arsenal,0,3,A
1993-94,Arsenal,QPR,0,0,D
1993-94,Chelsea,Everton,4,2,H
1993-94,Coventry,Swindon,1,1,D
1993-94,Sheffield Weds,Tottenham,1,0,H
1993-94,West Ham,Sheffield United,0,0,D
1993-94,Liverpool,Man United,3,3,D
1993-94,Norwich,Newcastle,1,2,A
1993-94,Aston Villa,West Ham,3,1,H
1993-94,Everton,Swindon,6,2,H
1993-94,Leeds,Ipswich,0,0,D
1993-94,Man City,Arsenal,0,0,D
1993-94,Norwich,Chelsea,1,1,D
1993-94,Oldham,Liverpool,0,3,A
1993-94,Sheffield United,Blackburn,1,2,A
1993-94,Southampton,Coventry,1,0,H
1993-94,Tottenham,Man United,0,1,A
1993-94,Wimbledon,Sheffield Weds,2,1,H
1993-94,QPR,Newcastle,1,2,A
1993-94,Arsenal,Oldham,1,1,D
1993-94,Chelsea,Aston Villa,1,1,D
1993-94,Coventry,QPR,0,1,A
1993-94,Ipswich,Wimbledon,0,0,D
1993-94,Liverpool,Man City,2,1,H
1993-94,Man United,Everton,1,0,H
1993-94,Newcastle,Southampton,1,2,A
1993-94,Sheffield Weds,Sheffield United,3,1,H
1993-94,Swindon,Tottenham,2,1,H
1993-94,Blackburn,Leeds,2,1,H
1993-94,West Ham,Norwich,3,3,D
1993-94,Coventry,Ipswich,1,0,H
1993-94,Blackburn,Wimbledon,3,0,H
1993-94,Everton,Chelsea,4,2,H
1993-94,Man City,Ipswich,2,1,H
1993-94,Norwich,Liverpool,2,2,D
1993-94,Oldham,Southampton,2,1,H
1993-94,QPR,Man United,2,3,A
1993-94,Swindon,Coventry,3,1,H
1993-94,Tottenham,Sheffield Weds,1,3,A
1993-94,Aston Villa,Leeds,1,0,H
1993-94,Aston Villa,Swindon,5,0,H
1993-94,Everton,Ipswich,0,0,D
1993-94,Man City,West Ham,0,0,D
1993-94,Oldham,Chelsea,2,1,H
1993-94,Sheffield United,Coventry,0,0,D
1993-94,Tottenham,Blackburn,0,2,A
1993-94,Wimbledon,Newcastle,4,2,H
1993-94,Norwich,Arsenal,1,1,D
1993-94,Southampton,Liverpool,4,2,H
1993-94,Blackburn,Newcastle,1,0,H
1993-94,Coventry,Man City,4,0,H
1993-94,Everton,Arsenal,1,1,D
1993-94,Leeds,Liverpool,2,0,H
1993-94,Swindon,Norwich,3,3,D
1993-94,Aston Villa,Man City,0,0,D
1993-94,Norwich,Blackburn,2,2,D
1993-94,Newcastle,Coventry,4,0,H
1993-94,Arsenal,Blackburn,1,0,H
1993-94,Ipswich,Sheffield United,3,2,H
1993-94,Liverpool,Coventry,1,0,H
1993-94,Man City,Swindon,2,1,H
1993-94,Norwich,Sheffield Weds,1,1,D
1993-94,Southampton,Wimbledon,1,0,H
1993-94,West Ham,Man United,2,2,D
1993-94,Chelsea,Tottenham,4,3,H
1993-94,Oldham,Leeds,1,1,D
1993-94,Tottenham,Aston Villa,1,1,D
1993-94,Blackburn,Liverpool,2,0,H
1993-94,Everton,Oldham,2,1,H
1993-94,Ipswich,Arsenal,1,5,A
1993-94,Leeds,Southampton,0,0,D
1993-94,Man United,Chelsea,0,1,A
1993-94,QPR,Man City,1,1,D
1993-94,Sheffield Weds,Newcastle,0,1,A
1993-94,Swindon,West Ham,1,1,D
1993-94,Tottenham,Sheffield United,2,2,D
1993-94,Wimbledon,Norwich,3,1,H
1993-94,Coventry,Aston Villa,0,1,A
1993-94,Aston Villa,Ipswich,0,1,A
1993-94,Man City,Wimbledon,0,1,A
1993-94,Newcastle,Swindon,7,1,H
1993-94,Norwich,QPR,3,4,A
1993-94,Southampton,Sheffield Weds,1,1,D
1993-94,Liverpool,Everton,2,1,H
1993-94,Sheffield United,Leeds,2,2,D
1993-94,Chelsea,Wimbledon,2,0,H
1993-94,Leeds,Aston Villa,2,0,H
1993-94,Man United,Sheffield Weds,5,0,H
1993-94,Sheffield United,QPR,1,1,D
1993-94,Aston Villa,Oldham,1,2,A
1993-94,Leeds,Coventry,1,0,H
1993-94,Liverpool,Chelsea,2,1,H
1993-94,Man City,Sheffield United,0,0,D
1993-94,QPR,Wimbledon,1,0,H
1993-94,Southampton,Arsenal,0,4,A
1993-94,Swindon,Man United,2,2,D
1993-94,Tottenham,Ipswich,1,1,D
1993-94,West Ham,Newcastle,2,4,A
1993-94,Sheffield Weds,Blackburn,1,2,A
1993-94,Norwich,Everton,3,0,H
1993-94,Arsenal,Man United,2,2,D
1993-94,Newcastle,Ipswich,2,0,H
1993-94,Arsenal,Liverpool,1,0,H
1993-94,Blackburn,Swindon,3,1,H
1993-94,Chelsea,West Ham,2,0,H
1993-94,Coventry,Norwich,2,1,H
1993-94,Everton,Tottenham,0,1,A
1993-94,Ipswich,QPR,1,3,A
1993-94,Oldham,Man City,0,0,D
1993-94,Sheffield United,Southampton,0,0,D
1993-94,Wimbledon,Leeds,1,0,H
1993-94,Sheffield United,West Ham,3,2,H
1993-94,Ipswich,Man City,2,2,D
1993-94,Newcastle,Norwich,3,0,H
1993-94,Wimbledon,Blackburn,4,1,H
1993-94,Aston Villa,Everton,0,0,D
1993-94,Man United,Liverpool,1,0,H
1993-94,Sheffield Weds,Chelsea,3,1,H
1993-94,Southampton,Oldham,1,3,A
1993-94,Leeds,Newcastle,1,1,D
1993-94,Arsenal,Swindon,1,1,D
1993-94,Blackburn,Man United,2,0,H
1993-94,Chelsea,Southampton,2,0,H
1993-94,Coventry,Wimbledon,1,2,A
1993-94,Liverpool,Sheffield United,1,2,A
1993-94,Man City,Aston Villa,3,0,H
1993-94,Norwich,Tottenham,1,2,A
1993-94,Oldham,QPR,4,1,H
1993-94,Sheffield Weds,Everton,5,1,H
1993-94,West Ham,Ipswich,2,1,H
1993-94,Aston Villa,Norwich,0,0,D
1993-94,Everton,Blackburn,0,3,A
1993-94,Ipswich,Coventry,0,2,A
1993-94,Man United,Oldham,3,2,H
1993-94,Newcastle,Chelsea,0,0,D
1993-94,QPR,Leeds,0,4,A
1993-94,Sheffield United,Arsenal,1,1,D
1993-94,Southampton,Man City,0,1,A
1993-94,Swindon,Sheffield Weds,0,1,A
1993-94,Tottenham,West Ham,1,4,A
1993-94,Wimbledon,Liverpool,1,1,D
1993-94,Coventry,Tottenham,1,0,H
1993-94,Liverpool,Ipswich,1,0,H
1993-94,Man City,Newcastle,2,1,H
1993-94,Norwich,Southampton,4,5,A
1993-94,Sheffield Weds,QPR,3,1,H
1993-94,West Ham,Everton,0,1,A
1993-94,Blackburn,Aston Villa,1,0,H
1993-94,QPR,Chelsea,1,1,D
1993-94,Arsenal,Chelsea,1,0,H
1993-94,Coventry,Sheffield Weds,1,1,D
1993-94,Ipswich,Swindon,1,1,D
1993-94,Liverpool,Newcastle,0,2,A
1993-94,Man City,Norwich,1,1,D
1993-94,Oldham,West Ham,1,2,A
1993-94,QPR,Everton,2,1,H
1993-94,Sheffield United,Aston Villa,1,2,A
1993-94,Southampton,Blackburn,3,1,H
1993-94,Wimbledon,Man United,1,0,H
1993-94,Leeds,Tottenham,2,0,H
1993-94,Arsenal,Wimbledon,1,1,D
1993-94,Aston Villa,Arsenal,1,2,A
1993-94,Chelsea,Leeds,1,1,D
1993-94,Everton,Coventry,0,0,D
1993-94,Man United,Man City,2,0,H
1993-94,Newcastle,Oldham,3,2,H
1993-94,Norwich,Sheffield United,0,1,A
1993-94,Sheffield Weds,Ipswich,5,0,H
1993-94,Swindon,Wimbledon,2,4,A
1993-94,Tottenham,Southampton,3,0,H
1993-94,West Ham,Liverpool,1,2,A
1993-94,Blackburn,QPR,1,1,D
1993-94,Wimbledon,Oldham,3,0,H
1993-94,Chelsea,Swindon,2,0,H
1993-94,Leeds,Man United,0,2,A
1993-94,Newcastle,Aston Villa,5,1,H
1993-94,QPR,Arsenal,1,1,D
1993-94,West Ham,Blackburn,1,2,A
1993-94,Arsenal,West Ham,0,2,A
1993-94,Leeds,Everton,3,0,H
1993-94,Liverpool,Norwich,0,1,A
1993-94,Man City,Chelsea,2,2,D
1993-94,Oldham,Sheffield Weds,0,0,D
1993-94,QPR,Swindon,1,3,A
1993-94,Sheffield United,Newcastle,2,0,H
1993-94,Southampton,Aston Villa,4,1,H
1993-94,Wimbledon,Tottenham,2,1,H
1993-94,Ipswich,Man United,1,2,A
1993-94,Coventry,Blackburn,2,1,H
1993-94,Leeds,Sheffield Weds,2,2,D
1993-94,Oldham,Sheffield United,1,1,D
1993-94,QPR,West Ham,0,0,D
1993-94,Chelsea,Coventry,1,2,A
1993-94,Man United,Southampton,2,0,H
1993-94,Oldham,Tottenham,0,2,A
1993-94,Aston Villa,Liverpool,2,1,H
1993-94,Blackburn,Ipswich,0,0,D
1993-94,Chelsea,Sheffield United,3,2,H
1993-94,Everton,Wimbledon,3,2,H
1993-94,Newcastle,Arsenal,2,0,H
1993-94,Norwich,Oldham,1,1,D
1993-94,Sheffield Weds,Man City,1,1,D
1993-94,Swindon,Leeds,0,5,A
1993-94,Tottenham,QPR,1,2,A
1993-94,West Ham,Southampton,3,3,D
1993-94,Man United,Coventry,0,0,D
1994-95,Arsenal,Man City,3,0,H
1994-95,Chelsea,Norwich,2,0,H
1994-95,Coventry,Wimbledon,1,1,D
1994-95,Crystal Palace,Liverpool,1,6,A
1994-95,Everton,Aston Villa,2,2,D
1994-95,Ipswich,Nott'm Forest,0,1,A
1994-95,Man United,QPR,2,0,H
1994-95,Sheffield Weds,Tottenham,3,4,A
1994-95,Southampton,Blackburn,1,1,D
1994-95,West Ham,Leeds,0,0,D
1994-95,Leicester,Newcastle,1,3,A
1994-95,Nott'm Forest,Man United,1,1,D
1994-95,Blackburn,Leicester,3,0,H
1994-95,Leeds,Arsenal,1,0,H
1994-95,Wimbledon,Ipswich,1,1,D
1994-95,Aston Villa,Southampton,1,1,D
1994-95,Man City,West Ham,3,0,H
1994-95,Newcastle,Coventry,4,0,H
1994-95,Norwich,Crystal Palace,0,0,D
1994-95,QPR,Sheffield Weds,3,2,H
1994-95,Tottenham,Everton,2,1,H
1994-95,Aston Villa,Crystal Palace,1,1,D
1994-95,Blackburn,Coventry,4,0,H
1994-95,Leeds,Chelsea,2,3,A
1994-95,Man City,Everton,4,0,H
1994-95,Newcastle,Southampton,5,1,H
1994-95,Norwich,West Ham,1,0,H
1994-95,Nott'm Forest,Leicester,1,0,H
1994-95,QPR,Ipswich,1,2,A
1994-95,Tottenham,Man United,0,1,A
1994-95,Wimbledon,Sheffield Weds,0,1,A
1994-95,Liverpool,Arsenal,3,0,H
1994-95,Coventry,Aston Villa,0,1,A
1994-95,Crystal Palace,Leeds,1,2,A
1994-95,Everton,Nott'm Forest,1,2,A
1994-95,Ipswich,Tottenham,1,3,A
1994-95,Arsenal,Blackburn,0,0,D
1994-95,Chelsea,Man City,3,0,H
1994-95,Leicester,QPR,1,1,D
1994-95,Man United,Wimbledon,3,0,H
1994-95,Sheffield Weds,Norwich,0,0,D
1994-95,Southampton,Liverpool,0,2,A
1994-95,West Ham,Newcastle,1,3,A
1994-95,Aston Villa,Ipswich,2,0,H
1994-95,Blackburn,Everton,3,0,H
1994-95,Liverpool,West Ham,0,0,D
1994-95,Man City,Crystal Palace,1,1,D
1994-95,Newcastle,Chelsea,4,2,H
1994-95,Norwich,Arsenal,0,0,D
1994-95,Nott'm Forest,Sheffield Weds,4,1,H
1994-95,QPR,Coventry,2,2,D
1994-95,Wimbledon,Leicester,2,1,H
1994-95,Leeds,Man United,2,1,H
1994-95,Tottenham,Southampton,1,2,A
1994-95,Coventry,Leeds,2,1,H
1994-95,Crystal Palace,Wimbledon,0,0,D
1994-95,Everton,QPR,2,2,D
1994-95,Leicester,Tottenham,3,1,H
1994-95,Man United,Liverpool,2,0,H
1994-95,Sheffield Weds,Man City,1,1,D
1994-95,Southampton,Nott'm Forest,1,1,D
1994-95,West Ham,Aston Villa,1,0,H
1994-95,Arsenal,Newcastle,2,3,A
1994-95,Chelsea,Blackburn,1,2,A
1994-95,Ipswich,Norwich,1,2,A
1994-95,Blackburn,Aston Villa,3,1,H
1994-95,Coventry,Southampton,1,3,A
1994-95,Crystal Palace,Chelsea,0,1,A
1994-95,Everton,Leicester,1,1,D
1994-95,Ipswich,Man United,3,2,H
1994-95,Man City,Norwich,2,0,H
1994-95,Newcastle,Liverpool,1,1,D
1994-95,QPR,Wimbledon,0,1,A
1994-95,Tottenham,Nott'm Forest,1,4,A
1994-95,West Ham,Arsenal,0,2,A
1994-95,Sheffield Weds,Leeds,1,1,D
1994-95,Arsenal,Crystal Palace,1,2,A
1994-95,Aston Villa,Newcastle,0,2,A
1994-95,Leeds,Man City,2,0,H
1994-95,Liverpool,Sheffield Weds,4,1,H
1994-95,Man United,Everton,2,0,H
1994-95,Norwich,Blackburn,2,1,H
1994-95,Southampton,Ipswich,3,1,H
1994-95,Wimbledon,Tottenham,1,2,A
1994-95,Chelsea,West Ham,1,2,A
1994-95,Nott'm Forest,QPR,3,2,H
1994-95,Leicester,Coventry,2,2,D
1994-95,Chelsea,Leicester,4,0,H
1994-95,Liverpool,Aston Villa,3,2,H
1994-95,Man City,Nott'm Forest,3,3,D
1994-95,Norwich,Leeds,2,1,H
1994-95,Sheffield Weds,Man United,1,0,H
1994-95,Southampton,Everton,2,0,H
1994-95,Tottenham,QPR,1,1,D
1994-95,West Ham,Crystal Palace,1,0,H
1994-95,Wimbledon,Arsenal,1,3,A
1994-95,Newcastle,Blackburn,1,1,D
1994-95,Coventry,Ipswich,2,0,H
1994-95,Arsenal,Chelsea,3,1,H
1994-95,Aston Villa,Norwich,1,1,D
1994-95,Blackburn,Liverpool,3,2,H
1994-95,Crystal Palace,Newcastle,0,1,A
1994-95,Everton,Coventry,0,2,A
1994-95,Leeds,Tottenham,1,1,D
1994-95,Leicester,Southampton,4,3,H
1994-95,Man United,West Ham,1,0,H
1994-95,QPR,Man City,1,2,A
1994-95,Ipswich,Sheffield Weds,1,2,A
1994-95,Nott'm Forest,Wimbledon,3,1,H
1994-95,Aston Villa,Nott'm Forest,0,2,A
1994-95,Crystal Palace,Everton,1,0,H
1994-95,Liverpool,Wimbledon,3,0,H
1994-95,Man City,Tottenham,5,2,H
1994-95,Newcastle,Sheffield Weds,2,1,H
1994-95,Norwich,QPR,4,2,H
1994-95,West Ham,Southampton,2,0,H
1994-95,Arsenal,Coventry,2,1,H
1994-95,Blackburn,Man United,2,4,A
1994-95,Chelsea,Ipswich,2,0,H
1994-95,Leeds,Leicester,2,1,H
1994-95,Coventry,Man City,1,0,H
1994-95,Everton,Arsenal,1,1,D
1994-95,Ipswich,Liverpool,1,3,A
1994-95,Leicester,Crystal Palace,0,1,A
1994-95,Man United,Newcastle,2,0,H
1994-95,Nott'm Forest,Blackburn,0,2,A
1994-95,QPR,Aston Villa,2,0,H
1994-95,Sheffield Weds,Chelsea,1,1,D
1994-95,Southampton,Leeds,1,3,A
1994-95,Tottenham,West Ham,3,1,H
1994-95,Wimbledon,Norwich,1,0,H
1994-95,QPR,Liverpool,2,1,H
1994-95,Everton,West Ham,1,0,H
1994-95,Ipswich,Leeds,2,0,H
1994-95,Coventry,Crystal Palace,1,4,A
1994-95,Sheffield Weds,Blackburn,0,1,A
1994-95,Southampton,Norwich,1,1,D
1994-95,Blackburn,Tottenham,2,0,H
1994-95,Crystal Palace,Ipswich,3,0,H
1994-95,Leeds,Wimbledon,3,1,H
1994-95,Liverpool,Nott'm Forest,1,0,H
1994-95,Man City,Southampton,3,3,D
1994-95,Newcastle,QPR,2,1,H
1994-95,Norwich,Everton,0,0,D
1994-95,West Ham,Leicester,1,0,H
1994-95,Arsenal,Sheffield Weds,0,0,D
1994-95,Aston Villa,Man United,1,2,A
1994-95,Chelsea,Coventry,2,2,D
1994-95,Nott'm Forest,Newcastle,0,0,D
1994-95,Liverpool,Chelsea,3,1,H
1994-95,Wimbledon,Aston Villa,4,3,H
1994-95,Man United,Man City,5,0,H
1994-95,Coventry,Norwich,1,0,H
1994-95,Ipswich,Blackburn,1,3,A
1994-95,Man United,Crystal Palace,3,0,H
1994-95,Nott'm Forest,Chelsea,0,1,A
1994-95,QPR,Leeds,3,2,H
1994-95,Sheffield Weds,West Ham,1,0,H
1994-95,Southampton,Arsenal,1,0,H
1994-95,Tottenham,Aston Villa,3,4,A
1994-95,Wimbledon,Newcastle,3,2,H
1994-95,Leicester,Man City,0,1,A
1994-95,Everton,Liverpool,2,0,H
1994-95,Leicester,Arsenal,2,1,H
